NUTTAB index,data_source,name,variety,extra_desc,notes,data_notes,density,food_type,brand,category,energy,water,protein,fat,fibre,sugar,starch,carbohydrate,sugar_alcohol,saturated_fat,monounsaturated_fat,polyunsaturated_fat,trans_fat,caffeine,quantity,quantity_unit,energy_unit,salt
"F008054","Analysed","sauce","plum","commercial","Commercially prepared chutney-style, spicy, sweet, hot sauce, based on plums.","The majority of nutrient data including were derived from a composite sample of 5 imported brands of plum sauce (Ayam, Lee Kum Kee, Pun Chun, Tung Chun, Yeos) purchased in Sydney in 1991. Alcohol, caffeine, vitamins (B12, folic acid, retinol), I, tryptophan and fatty acids were imputed zero.",1.29,"nuttab",,"uncategorised",1236.0,51.5,0.2,1.0,0.8,62.2,10.7,72.9,0.0,0.52,0.18,0.25,0.0,0.0,100.0,"ml","kj",
"F008055","Analysed","sauce","rogan josh","commercial","Commercially prepared Indian style Rogan Josh flavoured sauce. Commonly contains water, vegetable oil, salt, coriander, ginger, chilli, spices, gram flour and pepper.","The majority of nutrient data were derived from a composite of 5 samples of Rogan Josh sauce (Tilde, Pataks, Sherwoods, Taylors and The Curry Makers) purchased in Sydney in 2005. Fatty acids were derived from a composite of 8 samples of Indian curry simmer or cooking sauce purchased in 1996. Vitamins (alpha-tocopherol, B2, B6, retinol), minerals (Fe, Se, Zn) and cholesterol were imputed from curry simmer sauce. Iodine, trans fat and tryptophan were estimated from major ingredients. Alcohol, caffeine and vitamins (B12, D, folic acid) were imputed zero. Note low sum of proximates possibly due to unanalysed organic acids - data should be used with caution.",1.13,"nuttab",,"uncategorised",333.0,88.7,1.7,4.6,2.1,3.5,3.5,7.0,0.0,2.14,1.38,0.9,28.48,0.0,100.0,"ml","kj",
"F008056","Analysed","sauce","salsa","tomato-based, commercial","Commercially prepared Mexican style, tomato based dip. Typical ingredients include tomato, onion, capsicum, jalapenos, salt and chilli.","The majority of nutrient data were derived from a composite of 8 samples of salsa (Old El Paso, Tostitos, Masterfoods and CCs) purchased in Adelaide in January 1996. Folate and iodine were borrowed from NZ FOODfiles 2014, S1002 - Dip, salsa, tomato based. Alcohol, caffeine, vitamins (B12, folic acid, retinol, D), tryptophan, trans fat and cholesterol were imputed zero.",1.1,"nuttab",,"uncategorised",160.0,98.4,1.4,0.0,1.8,5.4,1.5,6.9,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"ml","kj",
"F008062","Analysed","sauce","simmer for chicken","commercial","Commercially prepared simmer/bake sauce intended for use with chicken dishes. Typical base ingredients  include water, vegetable oil, onion, thickener, flavours, herbs and spices. Additional ingredients may be included depending on the flavour of the simmer sauce.","The majority of nutrient data were derived from a composite of 5 samples of simmer sauce (3x Chicken tonight, Continental stroganoff, Homebrand) purchased in Sydney in 2005. Fatty acids were derived from 1 sample of Chicken Tonight Creamy Chicken with Mushrooms purchased in NSW in 2013. Vitamins (alpha-tocopherol, B3, B6), minerals (Fe, I, Mg, Se, Zn) and cholesterol were borrowed from NZ FOODfiles 2014, S72 - Sauce, simmer, savoury, heated. Tryptophan was imputed from cream. Trans fat was imputed from butter chicken sauce. Alcohol, caffeine and vitamins (B12, D, folic acid) were imputed zero.",1.13,"nuttab",,"uncategorised",433.0,92.2,0.9,8.5,1.9,3.7,1.7,5.4,0.0,1.05,2.47,4.46,11.35,0.0,100.0,"ml","kj",
"F008063","Analysed","sauce","simmer","curry flavoured, commercial","Commercially prepared simmer style sauce suitable for pouring over chicken or beef to produce an Indian-style curry.","The majority of nutrient data were derived from a composite of 8 samples of simmer sauce (2x Continental Thai Peanut Curry, Chicken Tonight Curried Chicken with Veg, Pataks Jalfrezi Mild Cooking Sauce, Pataks Dopiaza Mild Cooking Sauce, Uncle Bens Mild Chicken Curry, Ashoka Mild Korma Cooking Sauce and Ashoka Hot Vindaloo Cooking Sauce) purchased in Adelaide in 1996. Fat and fatty acids were also derived from 3 individual samples of curry sauce (1x Sharwood's Tikka Masala, 1x Sharwood's Butter Chicken and 1x Patak's Butter Chicken) purchased in NSW and VIC in 2013. Folate, vitamin C, I, tryptophan and trans fat were estimated as the average of Sauce, rogan josh & Sauce, butter chicken. Caffeine, alcohol and vitamins (D, folic acid, B12) were imputed zero.",1.13,"nuttab",,"uncategorised",559.0,87.3,2.4,7.8,2.6,8.0,4.1,12.1,0.0,3.53,2.48,1.0,64.36,0.0,100.0,"ml","kj",
"F008065","Analysed","sauce","soy","commercial","Commercially prepared dark brown salty liquid sauce commonly containing hydrolysed soy protein, hydrolysed wheat protein, salt, colour (caramel) and water.","The majority of nutrient data were derived from a composite of 4 samples of soy sauce (Kikkoman, MasterFoods, Fountain, Cornwells) purchased in Adelaide in 1990. Iodine and a range of other minerals were determined in a composite of 8 samples of soy sauce (2x Masterfoods, 2x Fountain, 2x Kikkoman, 1x Meiweixian, 1x Haday) purchased in Melbourne in 2006. Folate, B2 and tryptophan were borrowed from USDA SR28, 16123 - Soy sauce made from soy and wheat (shoyu). Folic acid, vitamin D and caffeine were imputed zero.",1.05,"nuttab",,"uncategorised",170.0,75.1,5.7,0.0,0.0,1.8,1.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"ml","kj",
"F008067","Imputed","sauce","soy","commercial, reduced salt","Commercially prepared dark brown, salty, liquid sauce commonly containing hydrolysed soy protein, hydrolysed wheat protein, salt, colour (caramel) and water. Reduced in salt compared to regular soy sauce.","The majority of nutrient data were derived from a composite of 4 samples of soy sauce (Kikkoman, Masterfoods, Fountain, Cornwells) purchased in Adelaide in 1990. Moisture and ash contents were adjusted to account for reduced salt content. Na, folate and B2 were borrowed from USDA SR28, 16424 - Soy sauce made from soy and wheat (shoyu), low sodium. Iodine was borrowed from NZ FOODfiles 2014, Sauce, soy, reduced salt, commercial, composite. Tryptophan was imputed from soy beverage. Caffeine, folic acid, vitamin D, fatty acids and cholesterol were imputed zero.",1.05,"nuttab",,"uncategorised",170.0,84.1,5.7,0.0,0.0,1.8,1.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"ml","kj",
"F008077","Borrowed","sauce","tabasco","commercial","Commercially prepared spicy sauce made from red peppers.","The majority of nutrient data were borrowed from USDA SR28, 06169 - Sauce, ready-to-serve, pepper, TABASCO. Alcohol, caffeine, cholesterol, vitamins (B12, D, folic acid, retinol) and trans fat were imputed zero.",0.98,"nuttab",,"uncategorised",56.0,93.3,1.3,0.7,0.6,0.1,0.0,0.1,0.0,0.12,0.01,0.42,0.0,0.0,100.0,"ml","kj",
"F008083","Analysed","sauce","tomato","commercial","Commercially prepared sauce with a thick consistency. Contains tomatoes, sugar, salt, food acid and spices.","The majority of nutrient data were derived from a composite of 8 samples of tomato sauce (3x Masterfoods, 2x Fountain, 2x Coles and 1x Heinz Big Red) purchased in ACT, QLD, VIC, SA and WA in 2014. Minerals were also determined a composite of 3 brands of tomato sauce (1x Masterfoods, 1x Fountain and 1x Heinz big red) purchased in 2010 and in tomato sauce purchased in 3 states in 2004. Caffeine, folic acid, vitamin D and alcohol were imputed zero.",1.04,"nuttab",,"uncategorised",454.0,72.5,1.4,0.0,1.4,24.6,0.4,25.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"ml","kj",
"F008085","Label Data","sauce","tomato","commercial, reduced salt","Commercially prepared sauce with a thick consistency formulated to have less added salt than regular commercial tomato sauce. Contains tomatoes, sugar, salt, food acid and spices.","The majority of nutrient data were imputed from regular tomato sauce. Na is based on label information for Masterfoods reduced salt tomato sauce available in 2017. Alcohol, caffeine, cholesterol and vitamins (folic acid, retinol, B12, D) were imputed zero.",1.04,"nuttab",,"uncategorised",454.0,73.0,1.4,0.0,1.4,24.6,0.4,25.1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"ml","kj",
"F008090","Recipe","sauce","white","savoury, homemade","Home prepared creamy style sauce made in the home from  butter, white wheat flour and milk.","These nutrient data were derived using a recipe approach. For further information refer to individual ingredients.",1.06,"nuttab",,"uncategorised",801.0,75.7,4.2,14.3,0.2,5.9,6.1,12.0,0.0,9.27,3.01,0.33,749.87,0.0,100.0,"ml","kj",
"F008094","Analysed","sauce","Worcestershire","commercial","Commercially prepared fermented liquid condiment made with vinegar, molasses, golden syrup, salt, water, spices, soy sauce, pepper, tamarinds, anchovies, lemon oil, onion and garlic powder.","The majority of nutrient data were derived from a composite of 2 samples of Worcestershire sauce (Cornells, Holbrooks) purchased in Adelaide in 1990. Fatty acids and tryptophan were imputed from canned anchovies. Iodine was borrowed from UK CoFID 2015, 17-723: Worcestershire sauce. Cholesterol and B2 were borrowed from USDA SR28, 06971 - Sauce, Worcestershire. Caffeine, alcohol, vitamin D and folic acid were imputed zero.",1.22,"nuttab",,"uncategorised",380.0,89.4,1.5,0.2,0.0,20.6,0.9,21.5,0.0,0.05,0.1,0.08,0.0,0.0,100.0,"ml","kj",
"F009498","Analysed","vinegar (except balsamic vinegar)",,,"Sour liquid prepared by acetous fermentation, with or without alcoholic fermentation, of any suitable foodstuff, commonly used in dressings. Available types of vinegar include white, brown and malt.","The majority of nutrient data were derived from a composite of 6 samples of white, brown and malt vinegar (2x Cornwells, 2x Seppelts, 1x Woolworths, 1x Home Brand) purchased in Adelaide in 1990. Vitamins (alpha-tocopherol, beta-carotene, B6, folate) were borrowed from USDA SR28, 02053 - Vinegar, distilled. Iodine was borrowed from NZ FOODfiles 2014, P11 - Vinegar. Caffeine, Vitamins (folic acid, retinol, C, D, remaining B vitamins), tryptophan, proximates (starch, sugars, fibre, alcohol), fatty acids and cholesterol were imputed zero.",1.01,"nuttab",,"uncategorised",66.0,96.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,"ml","kj",
"F006577","Analysed","peanut butter","smooth & crunchy","added sugar & salt","Commercial paste made from roasted and ground peanuts. Available in two types with (crunchy) and without (smooth) chunks of peanuts. Contains vegetable oil, added sugar and salt.","Proximates, vitamins and fatty acids were from either composite or individual analyses of 4 samples of smooth and crunchy peanut butter with added sugar and salt (2x Kraft, 2x Dick Smith) purchased nationally across the summer and winter months of 2008. Na, I, fat and fatty acids were also derived from 3 individual samples of peanut butter (1x Dick Smith, 1x Sanitarium and 1x Kraft) purchased in NSW in 2009. Fat and fatty acids were also derived from 6 samples of smooth and crunchy peanut butter (1x Coles, 1x Bramwells, 1x Black and Gold, 1x Sanitarium and 1x Kraft) purchased in NSW and VIC in 2013. Minerals were also derived from a composite of 3 samples of peanut butter (1x Kraft, 1x Sanitarium and 1x Homebrand) purchased in 2010. Mg, B2 and B3 were from a composite of 6 samples of smooth and crunchy peanut butter (2x Kraft, 2x ETA and 2x Farmland) purchased from Adelaide supermarkets in 1989. Trace elements and additional minerals were from composites of up to 9 samples of peanut butter purchased nationally during 2002 and 2003. Vitamins (retinol, B12, D), caffeine, alcohol and cholesterol were imputed zero. Note low sum of proximates - data should be used with caution.",,"nuttab",,"uncategorised",2495.0,1.5,22.2,49.6,5.8,8.6,5.7,14.3,0.0,8.75,32.51,5.98,161.31,0.0,100.0,"g","kj",
"F006579","Imputed","peanut butter","smooth & crunchy","no added sugar or salt","Commercial paste made from roasted, unsalted and ground peanuts. Available in two types with (crunchy) and with out (smooth) chunks of peanuts. Does not contain added salt or sugar.","The majority of proximates, vitamins and fatty acids were derived from 4 purchases of smooth and crunchy peanut butter with added sugar and salt (2x Kraft, 2x Dick Smith) purchased nationally in 2008. Minerals were also derived from a composite of 3 samples of peanut butter (1x Kraft, 1x Sanitarium and 1x Homebrand) purchased in 2010. Fatty acids were also derived from 3 individual samples of peanut butter (1x Kraft, 1x Sanitarium and 1x Dick Smith) purchased in NSW in 2009. Vitamin B2 and Mg were from a composite of 6 purchases of smooth and crunchy peanut butter (2 each x Kraft, ETA and Farmland) purchased from Adelaide supermarkets in 1989. Trace elements and additional minerals were from composites of up to 9 samples of peanut butter purchased nationally during 2000 and 2003. Na and total sugar was obtained from label data. Retinol, cholesterol and D were imputed zero.",,"nuttab",,"uncategorised",2628.0,1.5,24.3,54.3,6.5,5.2,4.2,9.4,0.0,9.44,37.66,4.46,176.5,0.0,100.0,"g","kj",
"F008783","Analysed","spread","yeast","marmite","Commercial thick, dark brown concentrated yeast extract spread. Contains added salt, and vitamins B1, B2 and B3.","The majority of nutrient data were from Sanitarium industry data (2008). Other nutrient data were derived from a composite sample of 6 purchases of Sanitarium Marmite in Adelaide in 1990. Folate and folic acid were borrowed from NZ FOODfiles 2014, P1004 - Spread, yeast extract, Marmite, Sanitarium, fortified vitamins B1, B2, B3, B12 & folate, & Fe. Fe was from NZFSA 2005. Note high fibre content which should be used with caution. The analysed nitrogen value was reduced by 10% to account for purine nitrogen. Alpha-tocopherol and iodine were imputed from vegemite. Fatty acids were borrowed from USDA SR28, 18375 - Leavening agents, yeast, baker's, active dry. Vitamins (C, D, retinol), alcohol and caffeine were imputed zero.",,"nuttab",,"uncategorised",623.0,40.9,13.3,0.9,11.8,11.8,4.8,16.6,0.0,0.14,0.58,0.0,0.0,0.0,100.0,"g","kj",
"F008785","Analysed","spread","yeast","vegemite","Commercial, thick dark brown, salty concentrated yeast extract spread made by treating yeast with acid. Contains added salt, and vitamins B1, B2 and B3.","The majority of nutrient data were derived from individual and composite samples of 8 purchases of Kraft Vegemite purchased nationally in each state and territory capital city in 2008. Some proximates, vitamins and minerals were also derived from a composite of 5 samples of Kraft vegemite purchased from NSW, VIC, TAS, ACT and WA in 2010. Folate and folic acid were determined in the 5 individual samples from the 2010 analysis. Retinol, vitamin D and cholesterol were imputed zero. Note that sample is likely to contain carbohydrates not detected with analytical techniques used and were represented by an estimated starch value in this profile.",,"nuttab",,"uncategorised",679.0,40.9,24.1,0.9,6.5,1.6,9.3,10.9,0.0,0.14,0.58,0.0,0.0,0.0,100.0,"g","kj",
"F002405","Analysed","cheese","blue vein",,"Prepared by the addition of culture, rennet and mould spores to cows milk to produce green, grey, blue or black spots of mould throughout the body of the cheese. Includes Australian and imported blue cheese.","Proximates (except ash), vitamins (except alpha-carotene, C and folate) and minerals (except iodine) were derived from a composite of 5 samples of blue vein cheese (Unity, Kraft, Mainland, Bavarian Blue and English Stilton) from Australia and overseas (New Zealand, Germany and Great Britain) purchased in Sydney in 1988/89. These components were averaged with Australian blue vein cheese data reported by the Australian Dairy Corporation (ADC, 1999). Ash and vitamins (alpha-carotene, cryptoxanthin, C) were determined in the 1988/89 sample only. Iodine was determined in the ADC sample only. Folate was borrowed from the UK 6th edition, 268 - Danish blue. Fatty acid profile is based on soft cheeses (ADC, 1991). Organic acids, trans fat and tryptophan were imputed from cheddar cheese. Vitamins (alpha-tocopherol, B12, B6, folate) and Se were imputed from brie. Vitamin D was based on pooled data for cheese varieties analysed in 2010 and 2015. Alcohol, caffeine and folic acid were imputed zero.",,"nuttab",,"uncategorised",1571.0,41.4,20.3,32.4,0.0,0.0,0.0,0.0,0.0,20.71,9.04,0.92,949.74,0.0,100.0,"g","kj",
"F002407","Analysed","cheese","brie",,"Australian and imported soft cheese covered with white mould and labelled as being brie style or double brie. Prepared by pasteurising, culturing and coagulating cows milk prior to salting and curing.","The majority of nutrient data were derived from a composite of 5 samples of Australian brie (Tasmanian Heritage, King Island, Australian Gold, South Cape and Kraft) and 3 samples of French brie (Due Pere, Fromage de Meax and Paleggio) purchased in Melbourne in 2005. Vitamin D was based on pooled data for cheese varieties analysed in 2010 and 2015. Protein, cholesterol and beta-carotene were determined in samples of brie reported by the Australian Dairy Corporation (1999). Organic acids were imputed from cheddar cheese. Caffeine, alcohol, vitamin C and folic acid were imputed zero.",,"nuttab",,"uncategorised",1502.0,46.3,18.2,31.5,0.0,0.0,0.0,0.0,0.0,20.48,8.16,0.95,922.79,0.0,100.0,"g","kj",
"F002408","Analysed","cheese","camembert",,"Prepared by pasteurising, culturing and coagulating cows milk prior to salting and curing to produce a soft creamy surface ripened cheese. Includes Australian and imported soft cheese covered with white mould and labelled as being camembert style.","The majority of nutrient data were derived from a composite of 5 samples of Australian camembert (Tasmanian Heritage, King Island, Australian Gold, Kraft and South Cape) and 3 samples of French camembert (Isigny Ste Mere, Brique Daffinois, Saint Vernier) purchased in Melbourne in 2005. Vitamin D was based on pooled data for cheese varieties analysed in 2010 and 2015. Protein, cholesterol and beta-carotene were determined in samples of camembert reported by the Australian Dairy Corporation (1999). Organic acids were imputed from cheddar cheese. Caffeine, alcohol, vitamin C and folic acid were imputed zero.",,"nuttab",,"uncategorised",1254.0,53.5,20.4,23.8,0.0,0.0,0.0,0.0,0.0,15.56,6.12,0.7,697.22,0.0,100.0,"g","kj",
"F002414","Analysed","cheese","cheddar","natural, regular fat","Cheddar cheese prepared by curdling cows milk with rennet, followed by curing to produce a hard pale yellow cheese. Includes unsliced mild, tasty and vintage varieties.","The majority of nutrient data were derived from 2 programs: (1) a composite of 10 samples of unsliced cheddar cheese (4x Coon, 2x Bega, 1x Black & Gold, 1x Devondale, 1x Homebrand, 1x IGA) purchased nationally in 2006; and (2) either individual or composite analyses of 10 samples of unsliced cheddar cheese (2x Mainland, 2x Devondale, 2x Bega, 2x Black & Gold, 1x IGA, 1x Coles) purchased nationally in 2008. Vitamin D was based on pooled data for cheese varieties analysed in 2010 and 2015. Folate was derived from a composite of 6 samples of cheddar cheese (Mainland, Coon, Bega, Homebrand) purchased in Sydney in 2005. Minerals (Ca, Fe, K, Na, P, I, Se, Zn) were also from samples of cheddar cheese purchased nationally in 2000, 2002 and 2004. Proximates (alcohol, fibre), caffeine and folic acid were imputed zero.",,"nuttab",,"uncategorised",1663.0,34.0,24.6,32.8,0.0,0.4,0.0,0.5,0.0,21.65,7.71,1.26,959.89,0.0,100.0,"g","kj",
"F002413","Analysed","cheese","cheddar","natural, reduced fat (approximately 25%)","Cheddar cheese prepared by curdling cows milk with rennet, followed by curing to produce a hard pale yellow cheese. Formulated to have a fat content of approximately 25%.","Proximates (fat, ash, organic acids) and minerals were derived from a composite of 8 samples of reduced fat cheddar cheese (2x Bega, 3x Mainland, 2x Coon, 1x Coles Farmland) purchased in Melbourne in 2005. Vitamin D was based on pooled data for cheese varieties analysed in 2010 and 2015. Fatty acids were determined in 5 samples of regular fat cheddar purchased in Sydney in 2005 (Farmland, Bega, Coon, Cracker Barrel and Mainland). Proximates (moisture, protein), cholesterol and vitamins (retinol, beta-carotene, B1, B2) were derived from a composite sample of Australian reduced fat cheddar cheese as reported by the Australian Dairy Corporation (1999). Vitamins (alpha-carotene, cryptoxanthin, B3, C) and proximates (moisture, starch, sugars) were derived from a composite of 6 samples of cheddar cheese (6x Haberfield) purchased in Sydney in 1988. Tryptophan, Se and vitamins (B12, B6, folate, alpha-tocopherol) were imputed from cheddar cheese. Caffeine, proximates (alcohol, fibre) and folic acid were imputed zero.",,"nuttab",,"uncategorised",1368.0,41.7,28.6,23.4,0.0,0.0,0.0,0.0,0.0,15.1,5.5,1.03,490.91,0.0,100.0,"g","kj",
"F002412","Label Data","cheese","cheddar","natural, reduced fat (approximately 15%)","Cheddar cheese prepared by curdling cows milk with rennet, followed by curing to produce a hard pale yellow cheese. Formulated to have a fat content of approximately 15%.","The majority of nutrient data were imputed from Cheese, cheddar, natural, reduced fat (approximately 25%). Proximates (protein, fat), Ca and Na were based on label information available for extra light cheddar cheese available in 2010. Moisture was determined by difference from other proximates. Vitamin D was based on pooled data for cheese varieties analysed in 2010 and 2015. Retinol and cholesterol were adjusted to reflect the lower fat content of this food compared to 25% fat cheddar cheese. Vitamins (folate, alpha-tocopherol, B6, B12) and Se were imputed from cheddar cheese. Alcohol, caffeine and folic acid were imputed zero.",,"nuttab",,"uncategorised",1109.0,47.1,31.1,15.3,0.0,0.0,0.0,0.0,0.0,9.87,3.6,0.67,320.98,0.0,100.0,"g","kj",
"F002428","Analysed","cheese","cheddar","processed, regular fat","Commercially prepared regular fat processed cheddar cheese. Prepared by grinding, mixing, melting and emulsifying one or more varieties of cheese with salt to form a homogeneous mass. Supplied as slices or blocks.","The majority of nutrient data were derived from a composite of 8 samples of regular fat processed cheddar cheese (3x Kraft Singles, 2x Bega Superslices, 1x Kraft Cheddar Block, 1x Coles Processed Cheese Slices and 1x Woolworths Homebrand cheese slices) purchased in ACT, QLD, VIC, SA and WA in 2015. Minerals were also from a composite of 3 samples (1x Kraft, 1x Bega, 1x Coles) of processed cheddar cheese purchased in 2010. Fatty acids, minerals (I, Ca, Na, Se, Fe, P) were also from a composite of 5 samples purchased in NSW, VIC, WA in 2004. Folates were also determined in a composite of 8 samples (including two of natural cheddar) purchased in VIC in 1997. Vitamin D was based on pooled data for cheese varieties analysed in 2010 and 2015. Alcohol, folic acid and caffeine were imputed zero.",,"nuttab",,"uncategorised",1254.0,48.4,18.2,23.9,0.0,1.5,0.4,1.9,0.0,16.04,5.54,0.63,45.11,0.0,100.0,"g","kj",
"F002425","Analysed","cheese","cheddar","processed, reduced fat (approximately 15%), added vitamin D","Commercially prepared processed cheddar cheese formulated to contain approximately 16% fat. Prepared by grinding, mixing, melting and emulsifying one or more varieties of cheese with salt and vitamin D to form a homogeneous mass. Supplied as slices or blocks.","The majority of nutrient data were derived from individual and composite analysis of 7 samples of cheddar cheese slices fortified with vitamin D (5x Kraft Singles Light, 2x Kraft Singles Extra Light) purchased nationally in 2008. Fat and fatty acids were derived from a composite of 5 samples of Kraft Singles Light cheddar cheese slices fortified with vitamin D purchased in ACT, QLD, NT, Tas and WA as part of the same program. Vitamin C and tryptophan were derived from a composite of 10 samples of Tasty full fat cheese (4x Coon, 2x Bega, 1x Homebrand, 1x Black and Gold Matured, 1x IGA Country Grove, 1x Devondale) purchased in NSW and QLD. Vitamin D was derived from samples of processed cheese fortified with vitamin D purchased on 2014. Cholesterol was imputed from processed cheddar cheese. Fibre, caffeine and alcohol were imputed zero. Note high sum of proximates - data should be used with caution.",,"nuttab",,"uncategorised",1054.0,52.5,22.5,15.4,0.0,4.9,0.0,4.9,0.0,10.26,3.77,0.48,480.25,0.0,100.0,"g","kj",
"F002435","Analysed","cheese","cottage",,"Regular fat creamed cottage cheese, prepared by curdling, salting, draining and washing cows milk to produce an unripened, white curd cheese.","Proximates (except ash), vitamins (except alpha carotene, cryptoxanthin and C), Cu and Mg were derived from a composite sample of 2 varieties of cottage cheese (Dairy Farmers and Home Brand) from Australia, purchased in Sydney in 1988/89. These nutrients were also determined for Australian creamed cottage cheese as reported by the Australian Dairy Corporation (ADC, 1999). Ash and vitamins (alpha-carotene, cryptoxanthin, C) were determined in the 1988/89 sample only. Fatty acids, minerals (I, Se, Na, K, Fe, P) were determined in 6 samples collected in WA, QLD and Vic in 2004. Organic acids were imputed from tasty cheese. Vitamins (folate, alpha-tocopherol, B6, B12) were borrowed from Denmark Fooddata version 1, 517 - Cheese, cottage, 20% fidm. Vitamin D was based on pooled data for cheese varieties analysed in 2010 and 2015. Alcohol, caffeine and folic acid were imputed zero.",,"nuttab",,"uncategorised",529.0,75.4,15.4,5.7,0.0,1.8,0.0,1.8,0.0,3.47,1.41,0.27,253.07,0.0,100.0,"g","kj",
"F002444","Analysed","cheese","cream","plain","Regular fat soft, white cheese prepared by blending, culturing and salting cows milk, cream and vegetable gum.","The majority of nutrient data were derived from a composite of 5 samples of cream cheese (4x Philadelphia and 1x Homebrand) purchased from NSW, VIC, TAS, QLD and WA in 2010. Proximates (fibre, galactose, starch), cryptoxanthin and vitamin C were derived from a composite of 2 samples of Kraft cream cheese purchased in Sydney in 1988/89. Vitamin D was based on pooled data for cheese varieties analysed in 2010 and 2015. Alcohol, caffeine and folic acid were imputed zero.",,"nuttab",,"uncategorised",1420.0,53.3,8.5,34.2,0.0,0.2,0.0,0.2,0.0,22.08,7.95,0.74,1515.76,0.0,100.0,"g","kj",
"F002448","Analysed","cheese","edam",,"A semi-hard cheese made by curdling cows milk with rennet, followed by curing. Coated in oil or a red or yellow wax film. Includes Australian and imported edam cheese.","Proximates (except ash), vitamins (except alpha carotene, cryptoxanthin and C) and some minerals (except I) were averaged from a composite of 6 samples of cheese (Mainland, 2x Bodalla, Bega, 2x unstated - from Australia, New Zealand and the Netherlands) purchased in Sydney in 1988/89 and samples of Australian Edam as reported by the Australian Dairy Corporation (ADC, 1999). Ash and vitamins (alpha-carotene, cryptoxanthin, C) were determined only in the 1988/89 sample. Minerals (I, Na, K, Ca, P) were determined in a composite sample of edam (2x Mainland, 2x Cheese of the World, 1x South Cape, 1x Australian Gold, 2x unbranded Dutch) purchased in Melbourne in 2005. Fatty acid profile is for cheese, firm or hard (ADC, 1991). Folate was borrowed from NZ FOODfiles 2014, F1001 - Cheese, Edam, composite. Se, vitamins (B6, B12, alpha-tocopherol), organic acids, trans fat and tryptophan were imputed from Cheese, cheddar, natural, regular fat. Vitamin D was based on pooled data for cheese varieties analysed in 2010 and 2015. Caffeine, proximates (alcohol, fibre) and folic acid were imputed zero.",,"nuttab",,"uncategorised",1510.0,39.9,28.0,27.2,0.0,0.0,0.0,0.0,0.0,17.22,7.8,0.77,797.85,0.0,100.0,"g","kj",
"F002452","Analysed","cheese","fetta (feta)",,"Made by curdling cows milk with rennet, which is then sliced, salted and stored in either whey or brine. Includes Australian and imported fetta cheese.","The majority of nutrient data were derived from a composite of 8 samples of Australian and imported fetta (2x deli, 2x Do Doni, 1x Woolworths, 1x Lemnos, 1x South Cape, 1x Coles) purchased in five states across Australia in 2017. Minerals (Na, Ca, K, P, I) and organic acids were determined in a composite of 8 samples of Australian and imported cheese (1x Coles, 1x Lemnos, 1x South Cape, 1x Do Doni Greek, 1x Bulgarian unbranded, 1x Danish unbranded, 1x Fage, 1x Elco) purchased in 2006. Minerals (As, Cd, Cu, Hg, Sb, Se, Sn, Zn) were also derived from samples purchased nationally in 2001. Vitamin D was based on pooled data for cheese varieties analysed in 2010 and 2015. Proximates (fibre, alcohol), caffeine and folic acid were imputed zero.",,"nuttab",,"uncategorised",1136.0,54.8,16.6,22.3,0.0,0.4,0.0,0.4,0.0,14.16,5.42,0.72,547.91,0.0,100.0,"g","kj",
"F002462","Analysed","cheese","goat","firm","Cheese made from goats milk. Firm in texture.","The majority of nutrient data were derived from a composite of 5 samples of firm and soft goats cheese (2x Southcape, 1x Josephines, 1x Frico and 1x Delre Caprakaas) purchased from NSW, VIC, QLD and WA in 2010. Fat is an average of label data from the firm cheeses analysed. Proximates and organic acids were dry-matter adjusted based on label data for total fat. Retinol and cholesterol were adjusted from analysed values to account for the changed fat content. Minerals were determined in the 2 individual samples of soft cheese from the same program. Vitamin D was based on pooled data for goat's cheese analysed in 2010. Proximates (alcohol, fibre, starch), caffeine, folic acid and vitamin C were imputed zero.",,"nuttab",,"uncategorised",1502.0,44.9,18.6,31.3,0.0,0.8,0.0,0.8,0.0,20.74,7.22,0.83,591.57,0.0,100.0,"g","kj",
"F002463","Analysed","cheese","goat","soft","Cheese made from goats milk. Soft in texture.","The majority of nutrient data were derived from a composite of 5 samples of firm and soft goats cheese (2x Southcape, 1x Josephines, 1x Frico and 1x Delre Caprakaas) purchased from NSW, VIC, QLD and WA in 2010. Fat is an average of label data from the soft cheeses analysed. Proximates and organic acids were dry-matter adjusted based on label data for total fat. Retinol and cholesterol were adjusted from analysed values to account for the changed fat content. Minerals were determined in the 3 individual samples of soft cheese from the same program. Vitamin D was based on pooled data for goat's cheese analysed in 2010. Proximates (alcohol, fibre, starch), caffeine, folic acid and vitamin C were imputed zero.",,"nuttab",,"uncategorised",1194.0,51.2,21.2,21.7,0.0,0.9,0.0,0.9,0.0,14.38,5.0,0.58,410.13,0.0,100.0,"g","kj",
